.38 Special Bitter,3.8,0,Beer
1000 Barley Wine,9.2,0,Beer
1100 Wheat Wine,11.5,0,Beer
120 Minute IPA,18,0,Beer
13th Anniversary Ale,9.5,0,Beer
1554 Enlightened Black Ale,5.5,0,Beer
1784 Anniversary Beer,5.4,0,Beer
186000 MPS Malt Liquor,10.5,0,Beer
1888 Bock,5.2,0,Beer
1916 Irish Stout,3.5,0,Beer
2004 Symposium Ale,7.5,0,Beer
2008 Culture Beer,5,0,Beer
21A IPA,7.2,0,Beer
2x4 India Pale Ale,7,0,Beer
3 Monts,8.5,0,Beer
3767 Belgian-style IPA with Brett,8,0,Beer
3rd Anniversary Ale,10,0,Beer
4 Seasons IPA,8,0,Beer
420 Extra Pale Ale,5.4,0,Beer
422 Pale Wheat Ale,5,0,Beer
47 Bryg,7,0,Beer
471 Double IPA,9.2,0,Beer
471 Extra ESB,7.8,0,Beer
471 IPA,9.2,0,Beer
5 Barrel Pale Ale,5.3,0,Beer
5 C's IPA,6.5,0,Beer
555 IPA,6.25,0,Beer
563 Stout,5,0,Beer
60 Minute IPA,6,0,Beer
60 Shilling Scotch Ale,5,0,Beer
75 Minute IPA,7.5,0,Beer
77 Lager,4.9,0,Beer
7th Anniversary IPA,7.7,0,Beer
8th Street Ale,4.5,0,Beer
90 Minute IPA,9,0,Beer
90 Shilling,5.3,0,Beer
9th Anniversary IPA,7.5,0,Beer
A. LeCoq Imperial Extra Double Stout 1999,9,0,Beer
A. LeCoq Imperial Extra Double Stout 2000,9,0,Beer
Abbaye de Floreffe Double,6.3,0,Beer
Abbaye de Saint-Martin Blonde,7,0,Beer
Abbaye de Saint-Martin Brune,8,0,Beer
Abbaye de Saint-Martin Triple,9,0,Beer
Abbaye de St Amand,7,0,Beer
Abbey 8,8,0,Beer
Abbey Belgian Style Ale,7,0,Beer
Abbey Dubbel,8.5,0,Beer
Abbey Extra,4.5,0,Beer
Abbey IPA,7,0,Beer
Abbey Roade Belgian Ale,6.4,0,Beer
Abbey Triple,9,0,Beer
Abbot Pennings Grand Cru,10,0,Beer
Abijah Rowe IPA,6.8,0,Beer
Abita Jockamo IPA,6.5,0,Beer
Abita Purple Haze,4.75,0,Beer
Abita Strawberry,4.2,12,Beer
Absinth,65,1.5,Shot
Absolut 100,50,1.5,Shot
Absolut Vodka,40,1.5,Shot
Abt 12,10,0,Beer
Abtskelder Tripel,8.4,0,Beer
Achel Trappist Extra,9.5,0,Beer
Acme California Brown Ale,5.6,0,Beer
Acme California Pale Ale,5,0,Beer
Adam,10,0,Beer
Adnam's Suffolk Special Bitter,4.5,0,Beer
Adnams Explorer,5.5,0,Beer
Adnams Fisherman,4.5,0,Beer
Adnams Tally Ho,7.5,0,Beer
Adriaan,5,0,Beer
Advocaat,17,0,Mixed Drink
