.38 Special Bitter,3.8,0,beer
1000 Barley Wine,9.2,0,beer
1100 Wheat Wine,11.5,0,beer
120 Minute IPA,18,0,beer
13th Anniversary Ale,9.5,0,beer
1554 Enlightened Black Ale,5.5,0,beer
1784 Anniversary Beer,5.4,0,beer
186000 MPS Malt Liquor,10.5,0,beer
1888 Bock,5.2,0,beer
1916 Irish Stout,3.5,0,beer
2004 Symposium Ale,7.5,0,beer
2008 Culture Beer,5,0,beer
21A IPA,7.2,0,beer
2x4 India Pale Ale,7,0,beer
3 Monts,8.5,0,beer
3767 Belgian-style IPA with Brett,8,0,beer
3rd Anniversary Ale,10,0,beer
4 Seasons IPA,8,0,beer
420 Extra Pale Ale,5.4,0,beer
422 Pale Wheat Ale,5,0,beer
47 Bryg,7,0,beer
471 Double IPA,9.2,0,beer
471 Extra ESB,7.8,0,beer
471 IPA,9.2,0,beer
5 Barrel Pale Ale,5.3,0,beer
5 C's IPA,6.5,0,beer
555 IPA,6.25,0,beer
563 Stout,5,0,beer
60 Minute IPA,6,0,beer
60 Shilling Scotch Ale,5,0,beer
75 Minute IPA,7.5,0,beer
77 Lager,4.9,0,beer
7th Anniversary IPA,7.7,0,beer
8th Street Ale,4.5,0,beer
90 Minute IPA,9,0,beer
90 Shilling,5.3,0,beer
9th Anniversary IPA,7.5,0,beer
A. LeCoq Imperial Extra Double Stout 1999,9,0,beer
A. LeCoq Imperial Extra Double Stout 2000,9,0,beer
Abbaye de Floreffe Double,6.3,0,beer
Abbaye de Saint-Martin Blonde,7,0,beer
Abbaye de Saint-Martin Brune,8,0,beer
Abbaye de Saint-Martin Triple,9,0,beer
Abbaye de St Amand,7,0,beer
Abbey 8,8,0,beer
Abbey Belgian Style Ale,7,0,beer
Abbey Dubbel,8.5,0,beer
Abbey Extra,4.5,0,beer
Abbey IPA,7,0,beer
Abbey Roade Belgian Ale,6.4,0,beer
Abbey Triple,9,0,beer
Abbot Pennings Grand Cru,10,0,beer
Abijah Rowe IPA,6.8,0,beer
Abita Jockamo IPA,6.5,0,beer
Abita Purple Haze,4.75,0,beer
Absinth,65,1.5,shot
Absolut 100,50,1.5,shot
Absolut Vodka,40,1.5,shot
Abt 12,10,0,beer
Abtskelder Tripel,8.4,0,beer
Achel Trappist Extra,9.5,0,beer
Acme California Brown Ale,5.6,0,beer
Acme California Pale Ale,5,0,beer
Adam,10,0,beer
Adnam's Suffolk Special Bitter,4.5,0,beer
Adnams Explorer,5.5,0,beer
Adnams Fisherman,4.5,0,beer
Adnams Tally Ho,7.5,0,beer
Adriaan,5,0,beer
Advocaat,17,0,mixedDrink
Aecht Schlenkerla Rauchbier Urbock,6,0,beer
Affligem Dubbel,6.8,0,beer
After Shock,40,1.5,shot
Afterburner IPA,6,0,beer
Aftershock,30,0,mixedDrink
